PIPE3 ; PIPE9 ; PIPE12 ; PIPE21 ; 
3.74888e-01 ; 4.94262e-01 ; 4.26472e-01 ; 3.53706e-01 ; 2.60999e-01 ; 6.02782e-01 ; 4.66519e-01 ; 3.72793e-01 ; 6.00841e-01 ; 5.44316e-01 ; 
9.23369e-01 ; 1.94592e+00 ; 1.05042e+00 ; 8.71198e-01 ; 1.28571e+00 ; 2.96937e+00 ; 1.52957e+00 ; 1.83642e+00 ; 2.95981e+00 ; 2.14298e+00 ; 
Sollwert POOL111 ; POOL111 ; Sollwert POOL117 ; POOL117 ; Sollwert NODE2 ; NODE2 ; Sollwert NODE5 ; NODE5 ; Sollwert NODE8 ; NODE8 ; Sollwert NODE11 ; NODE11 ; Sollwert NODE14 ; NODE14 ; Sollwert NODE17 ; NODE17 ; Sollwert NODE20 ; NODE20 ; Sollwert NODE23 ; NODE23 ; Sollwert NODE26 ; NODE26 ; Sollwert NODE29 ; NODE29 ; Sollwert NODE35 ; NODE35 ; Sollwert NODE38 ; NODE38 ; Sollwert NODE53 ; NODE53 ; Sollwert NODE62 ; NODE62 ; Sollwert NODE71 ; NODE71 ; Sollwert NODE101 ; NODE101 ; Sollwert NODE103 ; NODE103 ; Sollwert NODE104 ; NODE104 ; Sollwert NODE106 ; NODE106 ; Sollwert NODE118 ; NODE118 ; 
1.94499e+00 ; 1.94499e+00 ; 7.77125e+00 ; 7.77125e+00 ; 7.71268e+01 ; 7.64142e+01 ; 7.62435e+01 ; 7.55147e+01 ; 7.65297e+01 ; 7.62798e+01 ; 7.60659e+01 ; 7.61343e+01 ; 4.84444e+01 ; 4.80627e+01 ; 4.58776e+01 ; 4.52887e+01 ; 7.33550e+01 ; 7.22702e+01 ; 4.75090e+01 ; 4.68572e+01 ; 6.33484e+01 ; 6.25644e+01 ; 7.54424e+01 ; 7.46980e+01 ; 7.57173e+01 ; 7.61680e+01 ; 7.42658e+01 ; 7.34919e+01 ; 4.34905e+01 ; 4.28339e+01 ; 7.43261e+01 ; 7.37055e+01 ; 5.17959e+01 ; 5.09084e+01 ; 4.27712e+01 ; 4.27712e+01 ; 9.34767e+01 ; 9.38150e+01 ; 8.85736e+01 ; 8.82213e+01 ; 1.94499e+00 ; 1.94499e+00 ; 9.34767e+01 ; 9.38150e+01 ; 
1.93773e+00 ; 1.93627e+00 ; 8.40989e+00 ; 8.55576e+00 ; 6.46109e+01 ; 6.46655e+01 ; 6.46098e+01 ; 6.46644e+01 ; 6.46131e+01 ; 6.46661e+01 ; 6.46272e+01 ; 6.46734e+01 ; 4.32699e+01 ; 4.33134e+01 ; 4.33223e+01 ; 4.33509e+01 ; 6.46313e+01 ; 6.46828e+01 ; 4.32906e+01 ; 4.33304e+01 ; 5.54698e+01 ; 5.55216e+01 ; 6.46099e+01 ; 6.46646e+01 ; 6.46083e+01 ; 6.46653e+01 ; 6.46116e+01 ; 6.46671e+01 ; 4.33956e+01 ; 4.34044e+01 ; 6.46088e+01 ; 6.46645e+01 ; 4.32683e+01 ; 4.33224e+01 ; 4.34099e+01 ; 4.34053e+01 ; 9.01200e+01 ; 9.01201e+01 ; 7.36235e+01 ; 7.36763e+01 ; 1.93773e+00 ; 1.93778e+00 ; 7.68135e+01 ; 7.68663e+01 ; 
1.93773e+00 ; 1.93627e+00 ; 8.33323e+00 ; 8.47910e+00 ; 6.45483e+01 ; 6.45977e+01 ; 6.45473e+01 ; 6.45967e+01 ; 6.45503e+01 ; 6.45983e+01 ; 6.45631e+01 ; 6.46049e+01 ; 4.32056e+01 ; 4.32449e+01 ; 4.32533e+01 ; 4.32791e+01 ; 6.45669e+01 ; 6.46135e+01 ; 4.32244e+01 ; 4.32604e+01 ; 5.54056e+01 ; 5.54523e+01 ; 6.45474e+01 ; 6.45969e+01 ; 6.45460e+01 ; 6.45975e+01 ; 6.45489e+01 ; 6.45992e+01 ; 4.33202e+01 ; 4.33278e+01 ; 6.45464e+01 ; 6.45968e+01 ; 4.32042e+01 ; 4.32531e+01 ; 4.33332e+01 ; 4.33286e+01 ; 9.01200e+01 ; 9.01201e+01 ; 7.35607e+01 ; 7.36085e+01 ; 1.93773e+00 ; 1.93778e+00 ; 7.67507e+01 ; 7.67985e+01 ; 
1.93773e+00 ; 1.93627e+00 ; 8.26006e+00 ; 8.40593e+00 ; 7.72868e+01 ; 7.66040e+01 ; 7.64555e+01 ; 7.57521e+01 ; 7.67113e+01 ; 7.64734e+01 ; 7.62227e+01 ; 7.62992e+01 ; 4.88733e+01 ; 4.85018e+01 ; 4.63407e+01 ; 4.57601e+01 ; 7.36453e+01 ; 7.25867e+01 ; 4.79502e+01 ; 4.73071e+01 ; 6.36820e+01 ; 6.29084e+01 ; 7.56916e+01 ; 7.49683e+01 ; 7.59566e+01 ; 7.63696e+01 ; 7.45592e+01 ; 7.37979e+01 ; 4.39668e+01 ; 4.33170e+01 ; 7.46211e+01 ; 7.40113e+01 ; 5.21059e+01 ; 5.12253e+01 ; 4.32601e+01 ; 4.32554e+01 ; 9.34143e+01 ; 9.37654e+01 ; 8.85975e+01 ; 8.82792e+01 ; 1.93773e+00 ; 1.93777e+00 ; 9.34143e+01 ; 9.37654e+01 ; 
1.93067e+00 ; 1.92776e+00 ; 8.89268e+00 ; 9.18311e+00 ; 7.73383e+01 ; 7.66998e+01 ; 7.65212e+01 ; 7.58651e+01 ; 7.67838e+01 ; 7.65748e+01 ; 7.63472e+01 ; 7.64341e+01 ; 4.91806e+01 ; 4.88330e+01 ; 4.67892e+01 ; 4.62410e+01 ; 7.38354e+01 ; 7.28400e+01 ; 4.83092e+01 ; 4.77061e+01 ; 6.38917e+01 ; 6.31733e+01 ; 7.57787e+01 ; 7.51058e+01 ; 7.60339e+01 ; 7.64718e+01 ; 7.46867e+01 ; 7.39824e+01 ; 4.45624e+01 ; 4.39447e+01 ; 7.47429e+01 ; 7.41818e+01 ; 5.22930e+01 ; 5.14784e+01 ; 4.38927e+01 ; 4.38862e+01 ; 9.33806e+01 ; 9.37322e+01 ; 8.86037e+01 ; 8.83084e+01 ; 1.93067e+00 ; 1.93073e+00 ; 9.33806e+01 ; 9.37322e+01 ; 
1.92371e+00 ; 1.91939e+00 ; 9.50716e+00 ; 9.93899e+00 ; 7.73589e+01 ; 7.67646e+01 ; 7.65456e+01 ; 7.59384e+01 ; 7.68238e+01 ; 7.66454e+01 ; 7.64536e+01 ; 7.65505e+01 ; 4.94341e+01 ; 4.91119e+01 ; 4.71975e+01 ; 4.66855e+01 ; 7.39854e+01 ; 7.30571e+01 ; 4.86192e+01 ; 4.80609e+01 ; 6.40539e+01 ; 6.33975e+01 ; 7.58190e+01 ; 7.51996e+01 ; 7.60651e+01 ; 7.65413e+01 ; 7.47633e+01 ; 7.41224e+01 ; 4.51370e+01 ; 4.45556e+01 ; 7.48129e+01 ; 7.43057e+01 ; 5.24345e+01 ; 5.16951e+01 ; 4.45072e+01 ; 4.45004e+01 ; 9.33562e+01 ; 9.37049e+01 ; 8.86048e+01 ; 8.83277e+01 ; 1.92371e+00 ; 1.92377e+00 ; 9.33562e+01 ; 9.37049e+01 ; 
1.91680e+00 ; 1.91110e+00 ; 1.01016e+01 ; 1.06714e+01 ; 7.74447e+01 ; 7.68911e+01 ; 7.66584e+01 ; 7.60928e+01 ; 7.69314e+01 ; 7.67771e+01 ; 7.65888e+01 ; 7.66959e+01 ; 4.97856e+01 ; 4.94854e+01 ; 4.76572e+01 ; 4.71733e+01 ; 7.42099e+01 ; 7.33352e+01 ; 4.90102e+01 ; 4.84849e+01 ; 6.43062e+01 ; 6.36928e+01 ; 7.59590e+01 ; 7.53819e+01 ; 7.61949e+01 ; 7.66762e+01 ; 7.49457e+01 ; 7.43493e+01 ; 4.57019e+01 ; 4.51487e+01 ; 7.49921e+01 ; 7.45230e+01 ; 5.26633e+01 ; 5.19731e+01 ; 4.51016e+01 ; 4.50960e+01 ; 9.33097e+01 ; 9.36619e+01 ; 8.86144e+01 ; 8.83639e+01 ; 1.91680e+00 ; 1.91686e+00 ; 9.33097e+01 ; 9.36619e+01 ; 
1.91003e+00 ; 1.90298e+00 ; 1.06808e+01 ; 1.13858e+01 ; 7.75638e+01 ; 7.70489e+01 ; 7.68170e+01 ; 7.62889e+01 ; 7.70733e+01 ; 7.69397e+01 ; 7.67369e+01 ; 7.68545e+01 ; 5.01866e+01 ; 4.99071e+01 ; 4.81407e+01 ; 4.76815e+01 ; 7.44719e+01 ; 7.36438e+01 ; 4.94413e+01 ; 4.89433e+01 ; 6.46045e+01 ; 6.40243e+01 ; 7.61506e+01 ; 7.56100e+01 ; 7.63760e+01 ; 7.68444e+01 ; 7.51830e+01 ; 7.46210e+01 ; 4.62572e+01 ; 4.57290e+01 ; 7.52279e+01 ; 7.47884e+01 ; 5.29369e+01 ; 5.22819e+01 ; 4.56808e+01 ; 4.56784e+01 ; 9.32493e+01 ; 9.36082e+01 ; 8.86265e+01 ; 8.84070e+01 ; 1.91003e+00 ; 1.91005e+00 ; 9.32493e+01 ; 9.36082e+01 ; 
1.90344e+00 ; 1.89506e+00 ; 1.12474e+01 ; 1.20850e+01 ; 6.73258e+01 ; 6.74314e+01 ; 6.73238e+01 ; 6.74296e+01 ; 6.73298e+01 ; 6.74326e+01 ; 6.73549e+01 ; 6.74457e+01 ; 4.59996e+01 ; 4.60857e+01 ; 4.60935e+01 ; 4.61530e+01 ; 6.73625e+01 ; 6.74627e+01 ; 4.60369e+01 ; 4.61164e+01 ; 5.82002e+01 ; 5.83005e+01 ; 6.73240e+01 ; 6.74299e+01 ; 6.73212e+01 ; 6.74311e+01 ; 6.73271e+01 ; 6.74344e+01 ; 4.62229e+01 ; 4.62491e+01 ; 6.73221e+01 ; 6.74298e+01 ; 4.59972e+01 ; 4.61019e+01 ; 4.62474e+01 ; 4.62506e+01 ; 9.00856e+01 ; 9.00856e+01 ; 7.63404e+01 ; 7.64430e+01 ; 1.90344e+00 ; 1.90341e+00 ; 7.95304e+01 ; 7.96330e+01 ; 
1.90344e+00 ; 1.89506e+00 ; 1.11446e+01 ; 1.19821e+01 ; 6.72583e+01 ; 6.73516e+01 ; 6.72564e+01 ; 6.73500e+01 ; 6.72617e+01 ; 6.73526e+01 ; 6.72835e+01 ; 6.73641e+01 ; 4.59277e+01 ; 4.60041e+01 ; 4.60094e+01 ; 4.60627e+01 ; 6.72901e+01 ; 6.73788e+01 ; 4.59601e+01 ; 4.60307e+01 ; 5.81281e+01 ; 5.82168e+01 ; 6.72567e+01 ; 6.73503e+01 ; 6.72542e+01 ; 6.73513e+01 ; 6.72593e+01 ; 6.73542e+01 ; 4.61231e+01 ; 4.61464e+01 ; 6.72550e+01 ; 6.73502e+01 ; 4.59255e+01 ; 4.60181e+01 ; 4.61446e+01 ; 4.61477e+01 ; 9.00856e+01 ; 9.00856e+01 ; 7.62722e+01 ; 7.63629e+01 ; 1.90344e+00 ; 1.90341e+00 ; 7.94622e+01 ; 7.95529e+01 ; 
