Staci ;FV folyamatvaltozo;Adattipus;2012.11.06. 0:30:00;2012.11.06. 1:00:00;2012.11.06. 1:30:00;2012.11.06. 2:00:00;2012.11.06. 2:30:00;2012.11.06. 3:00:00;2012.11.06. 3:30:00;2012.11.06. 4:00:00;2012.11.06. 4:30:00;2012.11.06. 5:00:00;2012.11.06. 5:30:00;2012.11.06. 6:00:00;2012.11.06. 6:30:00;2012.11.06. 7:00:00;2012.11.06. 7:30:00;2012.11.06. 8:00:00;2012.11.06. 8:30:00;2012.11.06. 9:00:00;2012.11.06. 9:30:00;2012.11.06. 10:00:00;2012.11.06. 10:30:00;2012.11.06. 11:00:00;2012.11.06. 11:30:00;2012.11.06. 12:00:00;2012.11.06. 12:30:00;2012.11.06. 13:00:00;2012.11.06. 13:30:00;2012.11.06. 14:00:00;2012.11.06. 14:30:00;2012.11.06. 15:00:00;2012.11.06. 15:30:00;2012.11.06. 16:00:00;2012.11.06. 16:30:00;2012.11.06. 17:00:00;2012.11.06. 17:30:00;2012.11.06. 18:00:00;2012.11.06. 18:30:00;2012.11.06. 19:00:00;2012.11.06. 19:30:00;2012.11.06. 20:00:00;2012.11.06. 20:30:00;2012.11.06. 21:00:00;2012.11.06. 21:30:00;2012.11.06. 22:00:00;2012.11.06. 22:30:00;2012.11.06. 23:00:00;2012.11.06. 23:30:00;2012.11.07. 0:00:00
#med_cinkota;K_EP_CINK_MED_01KAM_HS_M-AVGHALF;Vizszint (m);2.6229947;2.6698959;2.7568977;2.8786423;3.0015419;3.1278193;3.2552533;3.3672619;3.4672482;3.5559306;3.6223664;3.6618574;3.6904337;3.6923952;3.6864634;3.6467917;3.6051109;3.5611286;3.5070674;3.4254808;3.3213682;3.2235031;3.1532378;3.0911493;3.0358698;2.9850106;2.9347167;2.8953993;2.8798227;2.8819516;2.8860159;2.8848178;2.8816597;2.8719563;2.8560557;2.8345211;2.8030365;2.7566545;2.7086718;2.6592169;2.5835576;2.4968488;2.4356511;2.3868630;2.3457708;2.3059044;2.2817671;2.2909307
#med_cinkota;-;Zarallapot;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik
#med_gilice;K_DP_GILI_UMED_KAM_HS_M-AVGHALF;Vizszint (m);2.1103640;2.4585595;2.9293694;3.4159021;3.9068909;4.3983574;4.9336925;5.0799370;5.0855608;5.0890965;5.0942693;5.0987005;5.1038508;5.1062379;5.1100268;5.1137633;5.1146092;5.1118031;5.1132383;5.1127710;5.1217184;5.1066003;4.9801254;4.8627534;4.7505555;4.6461954;4.5447669;4.4530292;4.3705440;4.2969913;4.2257423;4.1533513;4.0833335;4.0126362;3.9366736;3.8565459;3.7708569;3.6731913;3.5577030;3.4287441;3.2824786;3.1326542;3.0135682;2.8895237;2.7864792;2.7304580;2.7619100;2.7654946
#med_gilice;-;Zarallapot;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;kizarva;kizarva;kizarva
#med_kob_regi;K_DP_KOBA_RMED_01KAM_HS_M-AVGHALF;Vizszint (m);5.0890779;5.1248145;5.1278868;5.1343603;5.1369095;5.1380177;5.1379933;5.1372533;5.1375690;5.1393065;5.1429424;5.1434851;5.1468863;5.1530156;5.1560993;5.1565971;5.1564984;5.1570230;5.1567230;5.1564465;5.1569118;5.1569295;5.1579084;5.1583424;5.1596127;5.1651726;5.1656766;5.1036530;4.2718835;3.2569706;2.3194046;1.9671701;1.9695745;1.9777516;1.9829894;1.9829723;1.9838560;1.9922308;1.9996526;2.0067449;2.0087361;2.0077133;2.0094481;2.0144081;2.0216720;2.0273664;2.5864146;4.1665454
#med_kob_regi;-;Zarallapot;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;urul;urul;urul;urul;urul;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;toltodik;toltodik
#med_kob_uj;K_DP_KOBA_UMED_02KAM_HS_M-AVGHALF;Vizszint (m);3.1553538;3.1872101;3.1997173;3.2032340;3.2044876;3.2046351;3.2036026;3.2033229;3.2031980;3.2028422;3.2028077;3.2023406;3.2022884;3.2014620;3.2008476;3.2009811;3.1993129;3.1993752;3.1988320;3.1976669;3.1974773;3.1965904;3.1963108;3.1960421;3.1985362;3.1120226;2.9377346;2.8202121;3.1253557;3.5364580;3.9222705;4.0183854;3.9258764;3.8145139;3.6975386;3.5873296;3.4610419;3.3267429;3.3194516;3.3239408;3.3260398;3.3269653;3.3285942;3.3279219;3.3276079;3.3273091;3.3053770;3.1793857
#med_kob_uj;-;Zarallapot;toltodik;toltodik;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;urul;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;urul;urul;urul
#med_krisztina;K_KB_KRIS_UMED_01KAM_HS_M-AVGHALF;Vizszint (m);2.1379514;2.5619667;2.9543333;3.3401124;3.6981466;4.0239530;4.3532772;4.6918612;4.9813108;5.0159636;5.0155048;5.0160851;5.0165768;5.0162902;5.0161281;5.0159111;5.0163593;5.0157599;5.0537114;5.0119581;4.9217329;4.6784949;4.4631958;4.2959538;4.1043906;3.8351958;3.5994272;3.4118617;3.2475071;3.1343508;3.0703979;3.0678926;3.0796757;3.1106477;3.1390688;3.1901090;3.2235260;3.0777519;2.8540533;2.6570015;2.5330279;2.4112470;2.2962849;2.1752796;2.1208527;2.1204338;2.1206946;2.1220224
#med_krisztina;-;Zarallapot;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;urul;urul;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;toltodik;urul;urul;urul;urul;urul;urul;urul;urul;urul;kizarva;kizarva;kizarva;kizarva
