

 Zonafogyasztasok kiszamitasa, adatfajl: alapzonamodell9.spr

 	 A_1                    :	   0.12 m3/h	 zona :   0.12 m3/h
 	 A_113                  :	   0.14 m3/h	 zona :   0.27 m3/h
 	 A_36                   :	   0.00 m3/h	 zona :   0.27 m3/h
 	 A_ARPAD_UT             :	   0.00 m3/h	 zona :   0.27 m3/h
 	 A_BARLANG_HNY          :	   0.00 m3/h	 zona :   0.27 m3/h
 	 A_BEKAS_PUM            :	  14.17 m3/h	 specialis csomopont
 	 A_BM-ROKA              :	 326.62 m3/h	 zona : 326.89 m3/h
 	 A_BUDAFOK              :	 388.63 m3/h	 zona : 715.51 m3/h
 	 A_BUDAORSI_UT          :	   0.00 m3/h	 specialis csomopont
 	 A_CSEPEL_BF            :	   0.00 m3/h	 specialis csomopont
 	 A_FELSOJH_GH           :	   0.00 m3/h	 specialis csomopont
 	 A_GILICE_UJ_GH         :	   0.00 m3/h	 specialis csomopont
 	 A_JOZSEF_A             :	   0.08 m3/h	 zona : 715.60 m3/h
 	 A_KM4_Q1200            :	   0.72 m3/h	 zona : 716.31 m3/h
 	 A_KM4_Q1400            :	   0.14 m3/h	 zona : 716.45 m3/h
 	 A_KM4_Q1600            :	   0.02 m3/h	 specialis csomopont
 	 A_KOB_TOV              :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_KPM1-3               :	   0.08 m3/h	 specialis csomopont
 	 A_KRISZTINA_UJ         :	   0.00 m3/h	 specialis csomopont
 	 A_NAGYKIKI             :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_NODE265              :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_NODE570              :	   0.00 m3/h	 specialis csomopont
 	 A_SANCGH               :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_SASI                 :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_SZARVASTER           :	   0.00 m3/h	 zona : 716.45 m3/h
 	 A_UJPEST_GH            :	 101.80 m3/h	 zona : 818.26 m3/h
 	 A_UTEG_GH              :	  97.15 m3/h	 zona : 915.40 m3/h
 	 A_VARI                 :	   0.00 m3/h	 zona : 915.40 m3/h
 	 A_Z01-0035             :	   1.00 m3/h	 zona : 916.41 m3/h
 	 A_Z01-0107             :	   6.50 m3/h	 zona : 922.91 m3/h
 	 A_Z01-0138             :	   1.68 m3/h	 zona : 924.59 m3/h
 	 A_Z01-0337             :	   0.16 m3/h	 zona : 924.75 m3/h
 	 A_Z01-0656             :	   0.84 m3/h	 zona : 925.59 m3/h
 	 A_Z01-0966             :	   1.84 m3/h	 zona : 927.43 m3/h
 	 A_Z01-1031             :	   1.72 m3/h	 zona : 929.15 m3/h
 	 A_Z01-1302             :	   1.94 m3/h	 zona : 931.09 m3/h
 	 A_Z01-1489             :	   2.37 m3/h	 zona : 933.46 m3/h
 	 A_Z01-1540             :	   4.48 m3/h	 zona : 937.94 m3/h
 	 A_Z01-1571             :	   0.10 m3/h	 zona : 938.04 m3/h
 	 A_Z01-1574             :	   1.31 m3/h	 zona : 939.35 m3/h
 	 A_Z01-1614             :	 289.17 m3/h	 zona : 1228.52 m3/h
 	 A_Z01-2606             :	  12.86 m3/h	 zona : 1241.38 m3/h
 	 A_Z01-2862             :	   1.41 m3/h	 zona : 1242.79 m3/h
