PIPE3 ; PIPE6 ; PIPE9 ; PIPE12 ; PIPE15 ; PIPE18 ; PIPE21 ; PIPE24 ; PIPE27 ; PIPE30 ; PIPE33 ; PIPE36 ; PIPE39 ; PIPE42 ; PIPE45 ; PIPE48 ; PIPE51 ; PIPE54 ; PIPE57 ; PIPE60 ; PIPE63 ; PIPE66 ; PIPE69 ; PIPE72 ; PIPE75 ; PIPE78 ; PIPE81 ; PIPE84 ; PIPE87 ; PIPE90 ; PIPE93 ; PIPE96 ; PIPE102 ; PIPE105 ; 
3.11174e-01;9.14721e-02;3.87700e-01;3.32265e-01;3.39235e-01;1.39063e-01;4.51152e-01;1.06932e-01;2.38551e-01;8.29614e-02;2.13801e-01;1.75231e-01;1.52251e-01;2.09101e-01;8.49248e-02;6.10489e-02;1.76685e-01;8.50680e-01;1.94681e-01;1.00000e+00;9.61292e-02;1.83541e-01;9.04132e-03;1.02230e-01;2.45166e-02;1.15696e-01;1.52685e-01;2.05857e-01;1.26093e-01;5.58349e-01;7.84312e-02;7.50789e-01;2.08497e-01;7.57321e-01;
1.10395e-01;6.16003e-02;1.60917e-02;2.30487e-01;2.77445e-02;5.42832e-01;4.76643e-01;2.86841e-01;1.87248e-01;7.23939e-03;2.94613e-01;1.21051e-01;1.06273e-01;3.71512e-01;1.49320e-01;7.57435e-02;5.39908e-02;9.92291e-01;5.29753e-01;9.59345e-01;3.01167e-01;1.18826e-01;8.21878e-02;2.75069e-01;7.71493e-02;1.84434e-02;8.04953e-02;1.04302e-01;3.07160e-01;6.78086e-01;4.62778e-02;1.00000e+00;2.08254e-05;2.33363e-10;
1.10433e-01;6.16410e-02;1.61272e-02;2.30457e-01;2.77167e-02;5.42864e-01;4.76581e-01;2.86855e-01;1.87233e-01;7.22796e-03;2.94586e-01;1.21096e-01;1.06263e-01;3.71511e-01;1.49360e-01;7.57545e-02;5.40307e-02;9.92261e-01;5.29777e-01;9.59321e-01;3.01183e-01;1.18873e-01;8.21907e-02;2.75072e-01;7.71669e-02;1.84241e-02;8.04564e-02;1.04287e-01;3.07154e-01;6.78089e-01;4.62659e-02;1.00000e+00;1.99694e-05;2.45071e-10;
3.02280e-01;8.86615e-02;3.78229e-01;3.27767e-01;3.32065e-01;1.40411e-01;4.47009e-01;1.07731e-01;2.36388e-01;8.14799e-02;2.12543e-01;1.70678e-01;1.50566e-01;2.08973e-01;8.18939e-02;6.05537e-02;1.72328e-01;8.45429e-01;1.97656e-01;1.00000e+00;9.80465e-02;1.79331e-01;9.52694e-03;1.03172e-01;2.27847e-02;1.14889e-01;1.50933e-01;2.01589e-01;1.26943e-01;5.58807e-01;7.75127e-02;7.52088e-01;2.09611e-01;7.35831e-01;
3.09867e-01;9.10134e-02;3.86467e-01;3.31488e-01;3.38046e-01;1.39224e-01;4.50504e-01;1.07067e-01;2.38254e-01;8.27075e-02;2.13503e-01;1.74627e-01;1.52070e-01;2.09456e-01;8.48138e-02;6.11553e-02;1.75966e-01;8.49631e-01;1.95121e-01;1.00000e+00;9.67669e-02;1.83153e-01;9.23630e-03;1.02838e-01;2.41579e-02;1.16818e-01;1.52508e-01;2.05194e-01;1.26346e-01;5.58425e-01;7.82860e-02;7.51075e-01;2.08644e-01;7.53979e-01;
3.21964e-01;9.47786e-02;3.99545e-01;3.37454e-01;3.47595e-01;1.37368e-01;4.56117e-01;1.06004e-01;2.41185e-01;8.46700e-02;2.15057e-01;1.80891e-01;1.54440e-01;2.10131e-01;8.93370e-02;6.20405e-02;1.81785e-01;8.56411e-01;1.91128e-01;1.00000e+00;9.44770e-02;1.89163e-01;8.75947e-03;1.02229e-01;2.63870e-02;1.19457e-01;1.54993e-01;2.10961e-01;1.25399e-01;5.57776e-01;7.94927e-02;7.49426e-01;2.07126e-01;7.83036e-01;
3.25156e-01;9.57651e-02;4.03045e-01;3.39026e-01;3.50092e-01;1.36895e-01;4.57622e-01;1.05740e-01;2.41972e-01;8.51846e-02;2.15449e-01;1.82539e-01;1.55115e-01;2.10467e-01;9.05875e-02;6.23265e-02;1.83311e-01;8.58212e-01;1.90115e-01;1.00000e+00;9.37682e-02;1.90833e-01;8.67602e-03;1.02301e-01;2.69019e-02;1.20435e-01;1.55701e-01;2.12497e-01;1.25237e-01;5.57645e-01;7.97795e-02;7.49121e-01;2.06744e-01;7.90666e-01;
3.22849e-01;9.50415e-02;4.00626e-01;3.37914e-01;3.48274e-01;1.37280e-01;4.56581e-01;1.05976e-01;2.41460e-01;8.48150e-02;2.15148e-01;1.81330e-01;1.54759e-01;2.10576e-01;8.97895e-02;6.22394e-02;1.82202e-01;8.57027e-01;1.90934e-01;1.00000e+00;9.39598e-02;1.89805e-01;8.81816e-03;1.02779e-01;2.63413e-02;1.20281e-01;1.55319e-01;2.11429e-01;1.25548e-01;5.57878e-01;7.94936e-02;7.49700e-01;2.07073e-01;7.85052e-01;
1.08945e-01;6.02771e-02;1.53906e-02;2.26954e-01;2.71221e-02;5.40521e-01;4.74443e-01;2.83828e-01;1.84183e-01;7.49546e-03;2.93557e-01;1.19620e-01;1.06107e-01;3.68922e-01;1.47716e-01;7.50362e-02;5.27143e-02;9.83564e-01;5.22189e-01;9.54211e-01;2.98955e-01;1.17347e-01;8.19613e-02;2.72873e-01;7.65096e-02;1.85715e-02;8.08547e-02;1.06326e-01;3.05022e-01;6.67195e-01;4.94363e-02;1.00000e+00;2.98330e-05;1.53953e-10;
1.09095e-01;6.03931e-02;1.55206e-02;2.27455e-01;2.72647e-02;5.40310e-01;4.74550e-01;2.84063e-01;1.84551e-01;7.47939e-03;2.93794e-01;1.19776e-01;1.06180e-01;3.69400e-01;1.47861e-01;7.50822e-02;5.28250e-02;9.85092e-01;5.25399e-01;9.54720e-01;2.99063e-01;1.17484e-01;8.20379e-02;2.73308e-01;7.58801e-02;1.85480e-02;8.08699e-02;1.05755e-01;3.05556e-01;6.70105e-01;4.88991e-02;1.00000e+00;2.80330e-05;1.65818e-10;
2.33216e-01;8.00644e-02;2.41874e-01;2.92127e-01;2.16515e-01;2.99677e-01;4.62120e-01;1.78104e-01;2.18103e-01;5.31261e-02;2.46205e-01;1.54684e-01;1.34402e-01;2.74005e-01;1.11560e-01;6.70981e-02;1.28584e-01;9.07060e-01;3.26675e-01;9.82760e-01;1.77352e-01;1.58835e-01;3.82436e-02;1.71187e-01;4.57795e-02;7.81562e-02;1.24481e-01;1.66820e-01;1.98046e-01;6.04236e-01;6.63875e-02;8.50220e-01;1.24779e-01;4.60588e-01;
