PIPE3 ; PIPE6 ; PIPE9 ; PIPE12 ; PIPE15 ; PIPE18 ; PIPE21 ; PIPE24 ; PIPE27 ; PIPE30 ; PIPE33 ; PIPE36 ; PIPE39 ; PIPE42 ; PIPE45 ; PIPE48 ; PIPE51 ; PIPE54 ; PIPE57 ; PIPE60 ; PIPE63 ; PIPE66 ; PIPE69 ; PIPE72 ; PIPE75 ; PIPE78 ; PIPE81 ; PIPE84 ; PIPE87 ; PIPE90 ; PIPE93 ; PIPE96 ; PIPE102 ; PIPE105 ; 
2.79432e-01;5.85316e-02;2.99562e-01;1.68853e-01;2.76781e-01;1.53666e-01;1.45957e-01;1.36468e-01;2.51140e-01;4.58412e-02;9.04179e-02;7.78032e-02;6.08042e-02;1.01010e-01;3.99533e-02;1.96956e-02;8.14506e-02;2.71771e-01;2.86977e-01;5.70171e-01;3.50732e-02;7.24485e-02;3.83925e-03;3.21696e-02;1.39253e-02;3.95943e-02;7.95852e-02;1.31608e-01;4.28490e-02;3.31196e-01;3.70868e-02;4.93849e-01;2.12478e-01;1.00000e+00;
8.44372e-03;3.13844e-03;1.11430e-03;7.15829e-02;1.51346e-02;2.44479e-01;7.39538e-02;1.32415e-01;8.64722e-02;4.13701e-04;4.06357e-02;6.02190e-03;5.91526e-03;6.58871e-02;7.74198e-03;2.97239e-03;2.63045e-03;7.86165e-01;5.27507e-01;1.00000e+00;3.80800e-02;6.23705e-03;3.85413e-03;3.27374e-02;7.35731e-03;1.16448e-03;5.76008e-03;8.71860e-03;3.59499e-02;5.45298e-01;5.25656e-03;7.59208e-01;3.93352e-01;2.59361e-07;
8.44920e-03;3.14102e-03;1.11693e-03;7.15736e-02;1.51196e-02;2.44484e-01;7.39452e-02;1.32414e-01;8.64615e-02;4.13179e-04;4.06333e-02;6.02499e-03;5.91505e-03;6.58853e-02;7.74563e-03;2.97337e-03;2.63278e-03;7.86162e-01;5.27526e-01;1.00000e+00;3.80813e-02;6.23951e-03;3.85442e-03;3.27378e-02;7.35952e-03;1.16339e-03;5.75833e-03;8.71772e-03;3.59499e-02;5.45302e-01;5.25539e-03;7.59215e-01;3.96121e-01;2.86045e-07;
2.77769e-01;5.79290e-02;2.99150e-01;1.71155e-01;2.79463e-01;1.58586e-01;1.48164e-01;1.40613e-01;2.55292e-01;4.58542e-02;9.18988e-02;7.72960e-02;6.12620e-02;1.03179e-01;3.92977e-02;1.99214e-02;8.11326e-02;2.76135e-01;2.97459e-01;5.80574e-01;3.63307e-02;7.23378e-02;4.12830e-03;3.32215e-02;1.32802e-02;4.02157e-02;8.02396e-02;1.31849e-01;4.40851e-02;3.36724e-01;3.75998e-02;5.03563e-01;2.17559e-01;1.00000e+00;
2.79065e-01;5.84048e-02;2.99658e-01;1.69179e-01;2.77154e-01;1.54389e-01;1.46208e-01;1.37091e-01;2.51782e-01;4.58160e-02;9.06270e-02;7.76536e-02;6.06433e-02;1.01390e-01;4.00016e-02;1.97856e-02;8.13238e-02;2.72403e-01;2.88533e-01;5.71728e-01;3.53305e-02;7.23794e-02;3.92627e-03;3.23581e-02;1.37559e-02;4.00842e-02;7.96481e-02;1.31623e-01;4.29268e-02;3.32074e-01;3.70258e-02;4.95287e-01;2.13234e-01;1.00000e+00;
2.81067e-01;5.91451e-02;3.00380e-01;1.66198e-01;2.73610e-01;1.48057e-01;1.43298e-01;1.31752e-01;2.46426e-01;4.57666e-02;8.87017e-02;7.82272e-02;5.97601e-02;9.86604e-02;4.10212e-02;1.95571e-02;8.16335e-02;2.66768e-01;2.75038e-01;5.58259e-01;3.37263e-02;7.24567e-02;3.61640e-03;3.10584e-02;1.44959e-02;3.97500e-02;7.87612e-02;1.31301e-01;4.12087e-02;3.24934e-01;3.61729e-02;4.82653e-01;2.06676e-01;1.00000e+00;
2.81541e-01;5.93233e-02;3.00598e-01;1.65445e-01;2.72703e-01;1.46472e-01;1.42549e-01;1.30423e-01;2.45099e-01;4.57490e-02;8.82222e-02;7.83503e-02;5.94798e-02;9.80118e-02;4.13117e-02;1.95115e-02;8.16925e-02;2.65350e-01;2.71665e-01;5.54780e-01;3.32667e-02;7.24866e-02;3.55400e-03;3.07719e-02;1.46465e-02;3.97504e-02;7.85387e-02;1.31215e-01;4.07597e-02;3.23176e-01;3.58913e-02;4.79519e-01;2.05029e-01;1.00000e+00;
2.81135e-01;5.91730e-02;3.00508e-01;1.65993e-01;2.73369e-01;1.47658e-01;1.43048e-01;1.31440e-01;2.46132e-01;4.57540e-02;8.85980e-02;7.82088e-02;5.95839e-02;9.85927e-02;4.11677e-02;1.95702e-02;8.16173e-02;2.66397e-01;2.74216e-01;5.57117e-01;3.34646e-02;7.25023e-02;3.63135e-03;3.10888e-02;1.44514e-02;3.99157e-02;7.87144e-02;1.31258e-01;4.10653e-02;3.24640e-01;3.59499e-02;4.82040e-01;2.06263e-01;1.00000e+00;
8.47494e-03;3.13194e-03;1.08780e-03;7.21548e-02;1.49641e-02;2.45915e-01;7.54611e-02;1.32543e-01;8.60307e-02;4.35150e-04;4.16607e-02;6.07109e-03;6.03714e-03;6.75971e-02;7.79717e-03;2.99892e-03;2.62088e-03;7.82447e-01;5.22906e-01;1.00000e+00;3.87043e-02;6.29500e-03;3.92997e-03;3.31886e-02;7.43768e-03;1.19808e-03;5.89832e-03;9.08765e-03;3.65801e-02;5.40135e-01;5.76452e-03;7.65201e-01;3.81720e-01;1.15927e-07;
8.42643e-03;3.11447e-03;1.08891e-03;7.17501e-02;1.49885e-02;2.45027e-01;7.48186e-02;1.32099e-01;8.58792e-02;4.31100e-04;4.13405e-02;6.03517e-03;5.99425e-03;6.70521e-02;7.74606e-03;2.97810e-03;2.60641e-03;7.83695e-01;5.25680e-01;1.00000e+00;3.83792e-02;6.25321e-03;3.90310e-03;3.29860e-02;7.32309e-03;1.18775e-03;5.85566e-03;8.97239e-03;3.63507e-02;5.42659e-01;5.65836e-03;7.64909e-01;3.83230e-01;1.33401e-07;
