parameter: demand
n_edges : 29
n_nodes : 15
n_cols  : 44 ( = n_edges + n_nodes )
n_rows  : 29 ( = n_edges )
column names; POOL4; PIPE7; PIPE10; PIPE13; PIPE16; PIPE19; PIPE22; PIPE25; PIPE28; PIPE31; PIPE34; PIPE37; PIPE40; POOL43; PIPE46; PIPE49; PIPE52; PIPE55; PIPE58; PIPE61; PIPE64; PIPE67; PIPE70; PIPE73; PIPE76; PIPE79; PIPE82; PIPE85; PIPE88; NODE2; NODE6; NODE9; NODE12; NODE17; NODE18; NODE23; NODE24; NODE29; NODE30; NODE32; NODE33; NODE63; NODE72; NODE81; 
demand @ NODE2; -1.64854e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; 
demand @ NODE6; -1.52703e+00; +5.09010e-01; +5.09008e-01; -4.05057e-02; -4.05023e-02; -2.94171e-02; -3.49399e-02; -4.97806e-02; -1.98275e-03; -4.42628e-02; -2.68902e-02; +9.49284e-03; +3.81062e-02; -1.21511e-01; -1.21511e-01; +6.10461e-02; +6.04654e-02; +5.09007e-01; -1.09902e+00; +4.05035e-02; +5.49510e-01; -5.52281e-03; -3.67910e-02; +1.32482e-02; +2.90656e-02; -2.56954e-02; +3.91424e-02; -2.46631e-02; +1.12161e-02; +0.00000e+00; -1.26710e+31; -1.26709e+31; -1.21019e+31; -8.04576e+30; -7.98455e+30; -8.29780e+30; -7.99087e+30; -1.00065e+30; +3.12500e-02; -1.05549e+30; -8.29443e+29; -1.26709e+31; -8.03720e+30; -8.57672e+29; 
demand @ NODE9; -1.52703e+00; +5.09008e-01; +5.09010e-01; -4.05023e-02; -4.05057e-02; -2.94171e-02; -3.49399e-02; -4.97806e-02; -1.98275e-03; -4.42628e-02; -2.68902e-02; +9.49284e-03; +3.81062e-02; -1.21511e-01; -1.21511e-01; +6.10461e-02; +6.04654e-02; +5.09007e-01; +5.49510e-01; +4.05035e-02; -1.09902e+00; -5.52281e-03; -3.67910e-02; +1.32482e-02; +2.90656e-02; -2.56954e-02; +3.91424e-02; -2.46631e-02; +1.12161e-02; +0.00000e+00; -1.26709e+31; -1.26710e+31; -1.21019e+31; -8.04576e+30; -7.98455e+30; -8.29780e+30; -7.99087e+30; -1.00065e+30; +1.82421e-01; -1.05549e+30; -8.29443e+29; -1.26709e+31; -8.03720e+30; -8.57672e+29; 
demand @ NODE12; -1.45844e+00; +4.86148e-01; +4.86148e-01; +4.86148e-01; +4.86148e-01; -4.60201e-02; -5.46600e-02; -7.78770e-02; -3.10182e-03; -6.92449e-02; -4.20670e-02; +1.48506e-02; +5.96135e-02; -1.90093e-01; -1.90093e-01; +9.55008e-02; +9.45922e-02; +4.86147e-01; +6.79595e-07; -4.86148e-01; +6.79595e-07; -8.63990e-03; -5.75560e-02; +2.07256e-02; +4.54703e-02; -4.01980e-02; +6.12346e-02; -3.85831e-02; +1.75465e-02; +0.00000e+00; -1.21019e+31; -1.21019e+31; -1.89322e+31; -1.25868e+31; -1.24911e+31; -1.29811e+31; -1.25009e+31; -1.56541e+30; -1.59618e-01; -1.65121e+30; -1.29758e+30; -1.21019e+31; -1.25734e+31; -1.34175e+30; 
demand @ NODE17; -9.69625e-01; +3.23209e-01; +3.23209e-01; +3.23208e-01; +3.23208e-01; -5.43699e-01; +4.49761e-01; +2.05081e-01; +2.66406e-01; -2.47530e-01; -1.49603e-01; +5.07017e-02; +2.12767e-01; -6.78912e-01; +9.69625e-01; +3.37279e-01; +3.41632e-01; +3.23208e-01; +4.51819e-07; -3.23209e-01; +4.51819e-07; -6.55077e-01; +3.14783e-01; +2.75955e-01; +6.43394e-02; -1.44804e-01; +2.18614e-01; -1.36974e-01; +6.31636e-02; +0.00000e+00; -8.04576e+30; -8.04576e+30; -1.25868e+31; -4.61866e+31; -4.50553e+31; -4.29422e+31; -4.42067e+31; -5.59590e+30; +0.00000e+00; -5.88882e+30; -4.63121e+30; -8.04576e+30; -4.51719e+31; -4.79018e+30; 
demand @ NODE18; -9.62248e-01; +3.20750e-01; +3.20750e-01; +3.20749e-01; +3.20749e-01; +3.77889e-01; +3.38222e-01; +2.88252e-01; +4.54807e-01; -2.50370e-01; -1.50802e-01; +4.96903e-02; +2.14984e-01; -6.86288e-01; +9.62248e-01; +3.38404e-01; +3.47884e-01; +3.20749e-01; +4.48382e-07; -3.20750e-01; +4.48382e-07; -3.96670e-02; +3.35775e-01; +1.71849e-01; -4.67956e-01; -1.47205e-01; +2.20934e-01; -1.37911e-01; +6.41819e-02; +0.00000e+00; -7.98455e+30; -7.98455e+30; -1.24911e+31; -4.50553e+31; -4.58416e+31; -4.26155e+31; -4.43928e+31; -5.66009e+30; +3.64842e-01; -5.94716e+30; -4.67948e+30; -7.98455e+30; -4.49939e+31; -4.84101e+30; 
demand @ NODE23; -1.00000e+00; +3.33334e-01; +3.33334e-01; +3.33333e-01; +3.33333e-01; -1.57006e-01; -1.86483e-01; -2.65691e-01; -1.05824e-02; -2.36241e-01; -1.43519e-01; +5.06656e-02; +2.03382e-01; -6.48537e-01; +1.00000e+00; +3.25818e-01; +3.22718e-01; +3.33333e-01; +4.65973e-07; -3.33334e-01; +4.65973e-07; -2.94766e-02; -1.96363e-01; +7.07091e-02; +1.55130e-01; -1.37143e-01; +2.08913e-01; -1.31633e-01; +5.98630e-02; +0.00000e+00; -8.29780e+30; -8.29780e+30; -1.29811e+31; -4.29422e+31; -4.26155e+31; -4.42874e+31; -4.26492e+31; -5.34069e+30; +0.00000e+00; -5.63340e+30; -4.42694e+30; -8.29780e+30; -4.28965e+31; -4.57761e+30; 
demand @ NODE24; -9.63010e-01; +3.21003e-01; +3.21003e-01; +3.21003e-01; +3.21003e-01; +8.94528e-02; +2.15905e-01; +4.99570e-01; -4.19603e-01; -2.49386e-01; -1.52644e-01; +5.69950e-02; +2.15190e-01; -6.85527e-01; +9.63010e-01; +3.49994e-01; +3.35533e-01; +3.21003e-01; +4.48737e-07; -3.21004e-01; +4.48737e-07; +1.26452e-01; +2.47534e-01; -3.79369e-01; +5.38279e-03; -1.43142e-01; +2.20951e-01; -1.40355e-01; +6.25462e-02; +0.00000e+00; -7.99087e+30; -7.99087e+30; -1.25009e+31; -4.42067e+31; -4.43928e+31; -4.26492e+31; -4.57295e+31; -5.63785e+30; +1.25000e-01; -5.96713e+30; -4.68396e+30; -7.99087e+30; -4.44026e+31; -4.84138e+30; 
demand @ NODE29; -1.20592e-01; +4.01972e-02; +4.01972e-02; +4.01972e-02; +4.01972e-02; +3.08492e-02; +3.53779e-02; +4.81940e-02; +6.98131e-03; -6.04900e-01; -2.00654e-01; -3.84301e-01; +4.48758e-01; -1.52794e+00; +1.20592e-01; -5.12006e-02; -6.93910e-02; +4.01971e-02; +5.61924e-08; -4.01973e-02; +5.61924e-08; +4.52874e-03; +3.70197e-02; -9.98797e-03; -3.15605e-02; -5.89945e-01; +4.74287e-01; -1.32446e-01; +2.48104e-01; +0.00000e+00; -1.00065e+30; -1.00065e+30; -1.56541e+30; -5.59590e+30; -5.66009e+30; -5.34069e+30; -5.63785e+30; -1.36749e+31; +1.00000e+00; -1.14547e+31; -9.76793e+30; -1.00065e+30; -5.60291e+30; -1.03924e+31; 
demand @ NODE30; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -1.64854e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; 
