parameter: friction_coeff
n_edges : 29
n_nodes : 15
n_cols  : 44 ( = n_edges + n_nodes )
n_rows  : 29 ( = n_edges )
column names; POOL4; PIPE7; PIPE10; PIPE13; PIPE16; PIPE19; PIPE22; PIPE25; PIPE28; PIPE31; PIPE34; PIPE37; PIPE40; POOL43; PIPE46; PIPE49; PIPE52; PIPE55; PIPE58; PIPE61; PIPE64; PIPE67; PIPE70; PIPE73; PIPE76; PIPE79; PIPE82; PIPE85; PIPE88; NODE2; NODE6; NODE9; NODE12; NODE17; NODE18; NODE23; NODE24; NODE29; NODE30; NODE32; NODE33; NODE63; NODE72; NODE81; 
friction_coeff @ POOL4; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; 
friction_coeff @ PIPE7; -1.06633e-01; +1.00000e+00; -4.46684e-01; +3.55460e-02; +3.55431e-02; +2.58151e-02; +3.06617e-02; +4.36854e-02; +1.73998e-03; +3.88432e-02; +2.35977e-02; -8.33051e-03; -3.34404e-02; +1.06633e-01; +1.06633e-01; -5.35715e-02; -5.30618e-02; -4.46683e-01; +9.64454e-01; -3.55441e-02; -4.82227e-01; +4.84658e-03; +3.22862e-02; -1.16261e-02; -2.55067e-02; +2.25492e-02; -3.43497e-02; +2.16433e-02; -9.84276e-03; +0.00000e+00; +3.21815e-01; +3.21814e-01; +3.07361e-01; +2.04345e-01; +2.02790e-01; +2.10746e-01; +2.02950e-01; +2.54142e-02; +1.59303e-33; +2.68071e-02; +2.10660e-02; +3.21814e-01; +2.04127e-01; +2.17830e-02; 
friction_coeff @ PIPE10; -1.06633e-01; -4.46684e-01; +1.00000e+00; +3.55431e-02; +3.55460e-02; +2.58151e-02; +3.06617e-02; +4.36854e-02; +1.73998e-03; +3.88432e-02; +2.35977e-02; -8.33051e-03; -3.34404e-02; +1.06633e-01; +1.06633e-01; -5.35715e-02; -5.30618e-02; -4.46683e-01; -4.82227e-01; -3.55441e-02; +9.64454e-01; +4.84658e-03; +3.22862e-02; -1.16261e-02; -2.55067e-02; +2.25492e-02; -3.43497e-02; +2.16433e-02; -9.84276e-03; +0.00000e+00; +3.21814e-01; +3.21815e-01; +3.07361e-01; +2.04345e-01; +2.02790e-01; +2.10746e-01; +2.02950e-01; +2.54142e-02; -2.65505e-33; +2.68071e-02; +2.10660e-02; +3.21814e-01; +2.04127e-01; +2.17830e-02; 
friction_coeff @ PIPE13; -3.39692e-02; +1.13236e-02; +1.13227e-02; +5.55682e-01; -2.60856e-01; +8.22370e-03; +9.76763e-03; +1.39165e-02; +5.54288e-04; +1.23739e-02; +7.51729e-03; -2.65378e-03; -1.06528e-02; +3.39692e-02; +3.39692e-02; -1.70658e-02; -1.69034e-02; +1.13229e-02; -5.44358e-01; +2.60857e-01; +2.72178e-01; +1.54393e-03; +1.02851e-02; -3.70362e-03; -8.12544e-03; +7.18329e-03; -1.09425e-02; +6.89472e-03; -3.13552e-03; +0.00000e+00; -8.15811e-03; -8.15743e-03; +9.79133e-02; +6.50962e-02; +6.46010e-02; +6.71355e-02; +6.46521e-02; +8.09598e-03; -2.65505e-34; +8.53970e-03; +6.71082e-03; -8.15766e-03; +6.50270e-02; +6.93921e-03; 
friction_coeff @ PIPE16; -3.39692e-02; +1.13227e-02; +1.13236e-02; -2.60856e-01; +5.55682e-01; +8.22370e-03; +9.76763e-03; +1.39165e-02; +5.54288e-04; +1.23739e-02; +7.51729e-03; -2.65378e-03; -1.06528e-02; +3.39692e-02; +3.39692e-02; -1.70658e-02; -1.69034e-02; +1.13229e-02; +2.72178e-01; +2.60857e-01; -5.44358e-01; +1.54393e-03; +1.02851e-02; -3.70362e-03; -8.12544e-03; +7.18329e-03; -1.09425e-02; +6.89472e-03; -3.13552e-03; +0.00000e+00; -8.15743e-03; -8.15811e-03; +9.79133e-02; +6.50962e-02; +6.46010e-02; +6.71355e-02; +6.46521e-02; +8.09598e-03; -2.65505e-34; +8.53970e-03; +6.71082e-03; -8.15766e-03; +6.50270e-02; +6.93921e-03; 
friction_coeff @ PIPE19; +5.95299e-04; -1.98433e-04; -1.98433e-04; -1.98433e-04; -1.98433e-04; -5.86658e-02; -9.00133e-03; +6.71200e-03; +1.52043e-02; -2.29140e-04; -9.67652e-05; -8.16227e-05; +1.78951e-04; -5.95299e-04; -5.95299e-04; +9.07694e-05; +5.04529e-04; -1.98433e-04; -2.77393e-10; +1.98433e-04; -2.77393e-10; +4.96644e-02; +1.69403e-03; -8.40149e-03; -4.29570e-02; -1.93766e-04; +1.87207e-04; -7.56270e-05; +8.21860e-05; +0.00000e+00; +1.42961e-04; +1.42961e-04; +2.23649e-04; +2.64227e-03; -1.83647e-03; +7.63020e-04; -4.34724e-04; -1.49921e-04; -9.54160e-35; -1.36274e-04; -1.12732e-04; +1.42961e-04; +4.15742e-04; -1.18718e-04; 
friction_coeff @ PIPE22; -7.76188e-03; +2.58730e-03; +2.58730e-03; +2.58729e-03; +2.58729e-03; +9.88136e-02; +2.58677e-01; -1.20299e-01; -7.07802e-02; +2.88470e-03; +1.55469e-03; -9.21679e-06; -2.39809e-03; +7.76188e-03; +7.76188e-03; -2.92867e-03; -4.83322e-03; +2.58729e-03; +3.61683e-09; -2.58730e-03; +3.61683e-09; +1.59863e-01; -1.30616e-01; -5.24475e-02; +2.32002e-02; +1.95774e-03; -2.47910e-03; +1.36476e-03; -8.43401e-04; +0.00000e+00; -1.86402e-03; -1.86402e-03; -2.91608e-03; +2.39945e-02; +1.80439e-02; -9.94874e-03; +1.15184e-02; +1.88739e-03; +3.98258e-34; +1.88893e-03; +1.51069e-03; -1.86402e-03; +1.68276e-02; +1.57213e-03; 
friction_coeff @ PIPE25; -7.98413e-03; +2.66138e-03; +2.66138e-03; +2.66137e-03; +2.66137e-03; -5.31965e-02; -8.68527e-02; +1.90649e-01; +8.82844e-02; +2.83714e-03; +1.96951e-03; -1.36616e-03; -2.54866e-03; +7.98413e-03; +7.98413e-03; -5.21811e-03; -2.76602e-03; +2.66137e-03; +3.72039e-09; -2.66138e-03; +3.72039e-09; -3.36562e-02; -9.58122e-02; +9.71464e-02; +3.23219e-02; +1.29504e-03; -2.59832e-03; +1.88244e-03; -5.79153e-04; +0.00000e+00; -1.91739e-03; -1.91739e-03; -2.99958e-03; +7.89909e-03; +1.11026e-02; -1.02336e-02; +1.92419e-02; +1.85628e-03; -1.99129e-34; +2.08471e-03; +1.60555e-03; -1.91739e-03; +9.40794e-03; +1.64773e-03; 
friction_coeff @ PIPE28; -8.23426e-05; +2.74476e-05; +2.74476e-05; +2.74475e-05; +2.74475e-05; -3.12023e-02; -1.32319e-02; +2.28599e-02; +8.37430e-02; +1.06418e-04; -1.99221e-04; +7.90211e-04; +2.22739e-05; +8.23426e-05; +8.23426e-05; +1.25375e-03; -1.33610e-03; +2.74475e-05; +3.83694e-11; -2.74476e-05; +3.83694e-11; +1.79704e-02; -9.54563e-03; -5.96294e-02; +5.12047e-02; +4.39467e-04; +1.80174e-06; -2.64321e-04; -1.76947e-04; +0.00000e+00; -1.97746e-05; -1.97746e-05; -3.09355e-05; +2.65696e-03; +4.53595e-03; -1.05542e-04; -4.18485e-03; +6.96271e-05; +0.00000e+00; -6.25001e-05; -1.40316e-05; -1.97746e-05; +1.85132e-03; -1.14258e-06; 
friction_coeff @ PIPE31; +9.60969e-02; -3.20323e-02; -3.20323e-02; -3.20323e-02; -3.20323e-02; -2.45831e-02; -2.81919e-02; -3.84048e-02; -5.56326e-03; -8.31652e-01; +1.59897e-01; +3.06241e-01; -3.57606e-01; -9.60969e-02; -9.60969e-02; +4.08007e-02; +5.52962e-02; -3.20323e-02; -4.47786e-08; +3.20323e-02; -4.47786e-08; -3.60886e-03; -2.95002e-02; +7.95920e-03; +2.51499e-02; +4.70115e-01; -3.77949e-01; +1.05543e-01; -1.97709e-01; +0.00000e+00; +2.30777e-02; +2.30777e-02; +3.61029e-02; +1.29057e-01; +1.30538e-01; +1.23172e-01; +1.30025e-01; +3.15383e-01; +0.00000e+00; +2.64178e-01; +2.25276e-01; +2.30777e-02; +1.29219e-01; +2.39678e-01; 
