
NODE_1345819,NODE_1337669
NODE_1346012,NODE_3990916
NODE_1346012,NODE_1346019
NODE_1319729,NODE_1345826
NODE_1342958,NODE_1345793
NODE_3967333,NODE_1345821
NODE_1345821,NODE_1345822
NODE_1345822,NODE_1345900
NODE_1345824,NODE_1345826
NODE_1345784,NODE_1345837
NODE_1345845,NODE_1345799
NODE_1345351,NODE_1347540
NODE_1345473,NODE_3967333
NODE_1319264,NODE_1345473
NODE_1345348,NODE_1332278
NODE_1316580,NODE_1345348
NODE_1332276,NODE_1332277
NODE_1332275,NODE_1332276
NODE_1332274,NODE_1332275
NODE_1316579,NODE_1332274
NODE_1338034,NODE_1316579
NODE_1332273,NODE_1338034
NODE_1316578,NODE_1338608
NODE_1345349,NODE_1322759
NODE_1332272,NODE_1332271
NODE_1332271,NODE_1332270
NODE_1332270,NODE_1332269
NODE_1332269,NODE_1332268
NODE_1332268,NODE_1336115
NODE_1336115,NODE_1320066
NODE_1320066,NODE_1332267
NODE_1332266,NODE_1332265
NODE_1332265,NODE_1333199
NODE_1345323,NODE_1333201
NODE_1333201,NODE_1332272
NODE_1332267,NODE_1333200
NODE_1333200,NODE_1332266
NODE_1322759,NODE_1333705
NODE_1333705,NODE_1316578
NODE_1315359,NODE_1319264
NODE_1316998,NODE_1332279
NODE_1332279,NODE_1331648
NODE_1316996,NODE_1332293
NODE_1332292,NODE_1316996
NODE_1332291,NODE_1332292
NODE_1333191,NODE_1332289
NODE_1332289,NODE_1332290
NODE_1331166,NODE_1345349
NODE_1331650,NODE_1331166
NODE_1332288,NODE_1331650
NODE_1335677,NODE_1332288
NODE_1316584,NODE_1335677
NODE_1331648,NODE_1332287
NODE_1332287,NODE_1332280
NODE_1332280,NODE_1332286
NODE_1332286,NODE_1316581
NODE_1316581,NODE_1336305
NODE_1336305,NODE_1321448
NODE_1321448,NODE_1316583
NODE_1316583,NODE_1332281
NODE_1332281,NODE_1332285
NODE_1332285,NODE_1332282
NODE_1332284,NODE_1332283
NODE_1332283,NODE_1316582
NODE_1332282,NODE_1315717
NODE_1315717,NODE_1332284
NODE_1332293,NODE_1315638
NODE_1315638,NODE_1332294
NODE_1332290,NODE_1336984
NODE_1336984,NODE_1332291
NODE_1332294,NODE_1324230
NODE_1324230,NODE_1333710
NODE_1335589,NODE_1346020
NODE_1345834,NODE_1342433
NODE_1319732,NODE_1319733
NODE_1319733,NODE_1338200
NODE_1338200,NODE_1336084
NODE_1336084,NODE_1342458
NODE_1342458,NODE_1342634
NODE_1342457,NODE_1342635
NODE_1342634,NODE_1319731
NODE_1319731,NODE_1342457
NODE_1342455,NODE_1342460
NODE_1336083,NODE_3989621
NODE_1342460,NODE_1319585
NODE_1319585,NODE_1319730
NODE_1319730,NODE_1330982
NODE_1330982,NODE_1342454
NODE_1342454,NODE_1342459
NODE_1342459,NODE_1342453
NODE_1342453,NODE_1342452
NODE_1331507,NODE_1322558
NODE_1322558,NODE_1342588
NODE_1340699,NODE_4577635
NODE_1337750,NODE_1340699
NODE_1341915,NODE_1321276
NODE_1321276,NODE_1337750
NODE_1340698,NODE_1341915
NODE_1319063,NODE_1340698
NODE_1320503,NODE_1339945
NODE_1339945,NODE_1321065
NODE_1342588,NODE_1342587
NODE_1342587,NODE_1342586
NODE_1339946,NODE_1339943
NODE_1339943,NODE_1339944
NODE_1319058,NODE_1320502
NODE_1320502,NODE_1339946
NODE_1339947,NODE_1335544
NODE_1335544,NODE_1319058
NODE_1320504,NODE_1339942
NODE_1339942,NODE_1339947
NODE_1337746,NODE_1339941
NODE_1339941,NODE_1320504
NODE_1319177,NODE_1321954
NODE_1341911,NODE_1335587
NODE_1341910,NODE_1337119
NODE_1345779,NODE_1322894
NODE_1322894,NODE_1341909
NODE_1341908,NODE_1341907
NODE_1341907,NODE_1345797
NODE_1345797,NODE_1322893
NODE_1322893,NODE_1341906
NODE_1341906,NODE_1341905
NODE_1341904,NODE_1341913
NODE_1341913,NODE_1322892
NODE_1346018,NODE_1322891
NODE_1322891,NODE_1341900
NODE_1341899,NODE_1341898
NODE_1341909,NODE_1341897
NODE_1341897,NODE_1346014
NODE_1335585,NODE_1337746
NODE_1321740,NODE_1339940
NODE_1320501,NODE_1321740
